time,error_original,error_method1,error_method2,error_method3,error_method4,similarity_top1,similarity_mean,momentum1_magnitude,momentum2_magnitude,momentum3_magnitude,momentum4_magnitude
0,0.00803425198330167,0.2508719603626832,0.1533153008093298,0.041929259062654,0.008034450957627132,0.9733723243723593,0.971904395956428,0.24283770846733024,0.14528104890834023,0.03389500714957786,9.393394991564303e-07
1,0.07400686199543914,0.021567731098911788,0.10890243767638952,0.08783913612135875,0.17294024947597864,0.9015095819536951,0.8846470085604036,0.007416357070184339,0.09099061439889891,0.02120192222154429,0.12514078249230834
2,0.030834437810027666,0.051380811049723425,0.07979725510771234,0.10323943501393631,0.2058978345090267,0.9706140008541884,0.969660872510852,0.23460864724468508,0.06218878947734293,0.014551966043065351,0.11262650652872404
3,0.1270283425962009,0.010335741881339225,0.1260500361447873,0.09209346409490785,0.22514274336560108,0.8925065984515067,0.8797904735281513,0.014354074680783212,0.16631906980435165,0.03882653846897517,0.22750511413534635
4,0.09054321982548502,0.034850436432317465,0.13050614369125008,0.109590953988115,0.26112262240330014,0.9766801556184684,0.9723363981399187,0.22837463357985668,0.006700665289213149,0.0016243876590433738,0.2047544070727068
5,0.0584328633358569,0.01602632976424265,0.200469627254733,0.12043937508807898,0.3153542270071538,0.8871371680849184,0.8710663010867641,0.019160206656587606,0.22665746539640727,0.05296700065235632,0.3107309623641448
6,0.032075596866801094,0.03538659089827991,0.1889126646689619,0.11802425171898202,0.34276443375461857,0.9708306386014716,0.9689737103352846,0.22189005880404142,0.06221225412551551,0.01460396568637663,0.2796576714565376
7,0.08998511220598814,0.007887352149357733,0.24550099133697928,0.1206805749863999,0.38188676565732477,0.8744621692312403,0.8614564531395477,0.02284826661359942,0.275230399988382,0.06433818154429055,0.3787504006417167
8,0.1126532665087538,0.048423602496993526,0.2239298680813882,0.11274614470384865,0.3973292313098288,0.9763050252813652,0.9738440907072509,0.2184866238697537,0.10664428152754779,0.025044498439883663,0.3408751677814929
9,0.008445568945815001,0.03094213778902729,0.3117783554319459,0.14956631253753028,0.46454536010256064,0.8930735670815144,0.8790303203623999,0.031218661229910512,0.3202535041532633,0.07487427906265254,0.4341651979205032
10,0.052509906878063915,0.019285687678873065,0.29186556336046887,0.145780354803863,0.47855968561020085,0.9727759111559898,0.9713966556089069,0.2093797854513711,0.14822795776033468,0.03474564273505392,0.3907484861485902
11,0.24877138300410634,0.02979653071613125,0.28604939876694535,0.0925488665410934,0.4513784743213602,0.8683402539998968,0.8555076464153031,0.03501516892022656,0.35355980768164036,0.08274690870069538,0.48014971082152197
12,0.3523631098402255,0.15182890303606977,0.19072127471666658,0.015883131928802287,0.3881762802744273,0.9702643747917709,0.9696764768265262,0.20291047693826333,0.18088939880700866,0.042603023714394825,0.43213455130327677
13,0.30202195250016733,0.12916996324023886,0.21489259025215027,0.003876012886677845,0.3910885212029635,0.8459118890264987,0.8343848767381947,0.036224633763483276,0.37866237722541,0.08883650355470417,0.5180810573017817
14,0.42918799996178125,0.264313843573683,0.10388594465508708,0.09306893032439677,0.3121892237981095,0.9760925907817788,0.9735941343172625,0.20179654603978986,0.20435683064417579,0.04832594192361177,0.46627276508612864
15,0.30905560930502723,0.23134707314451378,0.1364288178798457,0.10420447202551826,0.3201864254541231,0.878560450123675,0.8718612149552815,0.046603299408651294,0.4104010898075208,0.0964733943851938,0.5493338101911884
16,0.4584155702073413,0.3270749884492853,0.06273317982695117,0.1560764719277075,0.2751877914714691,0.9718171602645908,0.9708241825399394,0.19028067364158555,0.2344570508014026,0.05557099173351163,0.4944002442662104
17,0.48866420354418627,0.3164154296213068,0.0710367037867648,0.19093662646923093,0.2567691616589843,0.8751699297191166,0.868378810666313,0.057717890256047434,0.43820506821928706,0.10323793396393235,0.5755789790776892
18,0.3254090845126495,0.3426368043807883,0.06522096803571782,0.17440133766616642,0.2776502806020725,0.9757618583388473,0.9731611972823225,0.18093048452673716,0.25944478754758826,0.06158653108195172,0.5180208966780191
19,0.2575084048855554,0.23269221447449956,0.17091762477842637,0.11166605780615957,0.35443198980629476,0.889465228145585,0.8792544224019437,0.06977505741561885,0.4634424631103556,0.1091942550173758,0.5967825274157367
20,0.2635363251976071,0.2522416854288229,0.1704783623225186,0.08847008856073836,0.38006313086180615,0.9851804775649553,0.9777384682223363,0.17157448525076843,0.2822704772768213,0.06694385842761531,0.5371040912107737
21,0.31049291426903247,0.17160995193498577,0.2455584504768624,0.05512536678414895,0.425922470436267,0.8897735371733606,0.8780967426464883,0.07948719360280986,0.4848780423777749,0.11424720365384491,0.614636953268797
22,0.24297211468228747,0.19435914166080198,0.24070041664869415,0.035279798558715214,0.44667103583858014,0.9847580680022493,0.9771604691113133,0.16183851309094419,0.3025298609575173,0.07170710665139032,0.5531730756846677
23,0.3053723229779914,0.15262552299404997,0.27589921881453366,0.041742117594748954,0.45115753574501644,0.9012784102453667,0.8920739066505323,0.0920443807900364,0.507548349711946,0.11956928079205702,0.6295257841068426
24,0.22897529483551368,0.1789193624338433,0.2659235742862529,0.026790463763330663,0.4655870754599078,0.9716454347744774,0.9712381832662803,0.14656988169300694,0.3246036778680103,0.07687925221695949,0.5665730246091272
25,0.16892902929804923,0.08588624388574728,0.3509600233844871,0.017873634455450527,0.5202811118501864,0.8877409382431217,0.878547561823156,0.10254380932349726,0.5241719819105041,0.1234055565147405,0.6417701825767906
26,0.12490061867423781,0.09035288340156696,0.36163947953559156,0.054560183246032644,0.555503771943697,0.9700304621485956,0.9684033311042282,0.1362484078869112,0.34044064545704344,0.08048551235549996,0.577592983883133
27,0.17800187945783258,0.03757876634863256,0.4054730745979627,0.0599657939023293,0.5704993996921517,0.8714172142619789,0.8626630427489964,0.10835031152211333,0.5350501050954866,0.12586622791622262,0.6521627336714085
28,0.11441523183584427,0.05681311812595451,0.40059129553811046,0.08289611964933925,0.5914927381173326,0.9718116143072649,0.9700044631716416,0.1306631124530962,0.3507914758238588,0.0828259190549154,0.5869462809608881
